Region;Year;Professional groups;Age Group;Total ;Women;Men;Gender Pay Gap;;;;;;;;
East;2012;Occupations in the field of personal services;total ;4 283  ;4 141  ;4 680  ; 539;;;;;;;;
East;2012;Sales staff;total ;4 483  ;4 229  ;6 139  ;1 910;;;;;;;;
East;2012;Caring professions;total ;4 985  ;4 938  ;5 697  ; 759;;;;;;;;
East;2012;Protection and security workers;total ;6 979  ;6 190  ;7 298  ;1 108;;;;;;;;
East;2012;Skilled workers in agriculture, forestry and fishing;total ;5 445  ;4 603 ;5 462  ;#WERT!;;;;;;;;
East;2012;Skilled workers in agriculture;total ;5 159  ;4 603 ;5 248  ;#WERT!;;;;;;;;
East;2012;Craft and related trades;total ;5 588  ;4 430  ;5 689  ;1 259;;;;;;;;
East;2012;Construction and finishing workers and related occupations, excl. Electricians;total ;5 637  ;4 626 ;5 679  ;#WERT!;;;;;;;;
East;2012;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;total ;5 667  ;4 751  ;5 707  ; 956;;;;;;;;
East;2012;Precision craftsmen and women, printers and artisans;total ;5 746  ;5 002  ;6 067  ;1 065;;;;;;;;
East;2012;Electricians and electronics technicians;total ;5 683  ;4 600  ;5 712  ;1 112;;;;;;;;
East;2012;Food processing, clothing production and related skilled trades;total ;5 193  ;4 265  ;5 515  ;1 250;;;;;;;;
East;2012;Operating plant and machinery and assembly occupations;total ;5 300  ;4 144  ;5 483  ;1 339;;;;;;;;
East;2012;Operating stationary plant and machinery;total ;5 328  ;4 275  ;5 576  ;1 301;;;;;;;;
East;2012;Assembly occupations;total ;5 020  ;3 852  ;5 518  ;1 666;;;;;;;;
East;2012;Driving vehicles and operating mobile equipment;total ;5 371  ;5 183 ;5 393  ;#WERT!;;;;;;;;
East;2012;Auxiliary workers;total ;4 891  ;4 147  ;5 270  ;1 123;;;;;;;;
East;2012;Cleaning staff and unskilled workers;total ;4 182  ;4 084  ;4 813  ; 729;;;;;;;;
East;2012;Auxiliary workers in mining, construction, production of goods and transportation;total ;5 153  ;4 129  ;5 328  ;1 199;;;;;;;;
East;2012;Total ;<= 29;4 833  ;4 599  ;4 973  ; 374;;;;;;;;
East;2012;Executives;<= 29;5 873  ;5 297  ;6 088  ; 791;;;;;;;;
East;2012;Managing directors, board members, senior administrative staff and legislative bodies;<= 29;5 991 ;*  ;*  ;#WERT!;;;;;;;;
East;2012;Managers in the commercial sector;<= 29;6 236  ;5 881 ;*  ;#WERT!;;;;;;;;
East;2012;Managers in production and specialized services;<= 29;6 365  ;6 523  ;6 310  ;- 213;;;;;;;;
East;2012;Managers in hotels, restaurants, retail and other services services;<= 29;*  ;*  ;*  ;#WERT!;;;;;;;;
East;2012;Intellectual and scientific professions;<= 29;5 958  ;5 958  ;5 944  ;- 14;;;;;;;;
East;2012;Scientists, mathematicians and engineers;<= 29;6 193  ;5 269  ;6 385  ;1 116;;;;;;;;
East;2012;Specialists in health professions;<= 29;5 920  ;5 850  ;6 164  ; 314;;;;;;;;
East;2012;Teachers;<= 29;6 853  ;6 750  ;7 937  ;1 187;;;;;;;;
East;2012;Business economists and similar specialists;<= 29;5 055  ;5 251  ;4 945  ;- 306;;;;;;;;
East;2012;Specialists in information and communication technology;<= 29;5 830  ;*  ;5 830  ;#WERT!;;;;;;;;
East;2012;Lawyers, social scientists and cultural professions;<= 29;5 624  ;5 724  ;5 271 ;#WERT!;;;;;;;;
East;2012;Technicians and equivalent non-technical professions;<= 29;5 145  ;4 951  ;5 375  ; 424;;;;;;;;
East;2012;Engineering and comparable specialists;<= 29;5 318  ;4 729  ;5 449  ; 720;;;;;;;;
East;2012;Assistant professions in the healthcare sector;<= 29;5 423  ;5 324  ;5 736  ; 412;;;;;;;;
East;2012;Business management and commercial specialists and administrative specialists;<= 29;5 019  ;4 918  ;5 198  ; 280;;;;;;;;
East;2012;Legal, social, cultural and related professionals;<= 29;4 904  ;4 904  ;4 663 ;#WERT!;;;;;;;;
East;2012;Information and communication technicians;<= 29;5 298 ;*  ;5 417 ;#WERT!;;;;;;;;
East;2012;Office workers and related professions;<= 29;4 699  ;4 666  ;4 771  ; 105;;;;;;;;
East;2012;General office and secretarial staff;<= 29;4 841  ;4 827  ;4 916  ; 89;;;;;;;;
East;2012;Office staff with customer contact;<= 29;4 180  ;4 166  ;*  ;#WERT!;;;;;;;;
East;2012;Office staff in finance and accounting, statistics and materials management;<= 29;4 694  ;4 651  ;4 699  ; 48;;;;;;;;
East;2012;Other office workers and related occupations;<= 29;5 011  ;5 174  ;*  ;#WERT!;;;;;;;;
East;2012;Service professions and salespersons;<= 29;4 207  ;4 179  ;4 334  ; 155;;;;;;;;
East;2012;Occupations in the field of personal services;<= 29;4 043  ;3 989  ;4 097  ; 108;;;;;;;;
East;2012;Sales staff;<= 29;4 122  ;4 096  ;4 291  ; 195;;;;;;;;
East;2012;Caring professions;<= 29;4 614  ;4 606  ;4 685  ; 79;;;;;;;;
East;2012;Protection and security workers;<= 29;5 949  ;6 113  ;5 908  ;- 205;;;;;;;;
East;2012;Skilled workers in agriculture, forestry and fishing;<= 29;4 741  ;*  ;4 901  ;#WERT!;;;;;;;;
East;2012;Skilled workers in agriculture;<= 29;4 694  ;*  ;4 741  ;#WERT!;;;;;;;;
East;2012;Craft and related trades;<= 29;4 875  ;4 423  ;4 935  ; 512;;;;;;;;
East;2012;Construction and finishing workers and related occupations, excl. Electricians;<= 29;4 992  ;*  ;5 019  ;#WERT!;;;;;;;;
East;2012;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;<= 29;4 774  ;*  ;4 777  ;#WERT!;;;;;;;;
East;2012;Precision craftsmen and women, printers and artisans;<= 29;4 700  ;4 394  ;4 875  ; 481;;;;;;;;
East;2012;Electricians and electronics technicians;<= 29;4 966  ;*  ;4 979  ;#WERT!;;;;;;;;
East;2012;Food processing, clothing production and related skilled trades;<= 29;4 566  ;4 176  ;4 998  ; 822;;;;;;;;
East;2012;Operating plant and machinery and assembly occupations;<= 29;4 728  ;3 937  ;4 870  ; 933;;;;;;;;
East;2012;Operating stationary plant and machinery;<= 29;4 803  ;3 933  ;4 898  ; 965;;;;;;;;
East;2012;Assembly occupations;<= 29;4 515  ;3 820  ;4 685  ; 865;;;;;;;;
East;2012;Driving vehicles and operating mobile equipment;<= 29;4 852  ;*  ;4 852  ;#WERT!;;;;;;;;
East;2012;Auxiliary workers;<= 29;4 540  ;3 777  ;4 795  ;1 018;;;;;;;;
East;2012;Cleaning staff and unskilled workers;<= 29;3 809  ;3 714  ;*  ;#WERT!;;;;;;;;
East;2012;Auxiliary workers in mining, construction, production of goods and transportation;<= 29;4 753  ;3 888  ;4 887  ; 999;;;;;;;;
East;2012;Total ;30 - 49;6 247  ;5 490  ;6 574  ;1 084;;;;;;;;
East;2012;Executives;30 - 49;8 539  ;6 957  ;8 858  ;1 901;;;;;;;;
East;2012;Managing directors, board members, senior administrative staff and legislative bodies;30 - 49;8 510  ;5 984 ;8 889  ;#WERT!;;;;;;;;
East;2012;Managers in the commercial sector;30 - 49;9 255  ;8 232  ;9 812  ;1 580;;;;;;;;
East;2012;Managers in production and specialized services;30 - 49;8 369  ;7 703  ;8 598  ; 895;;;;;;;;
East;2012;Managers in hotels, restaurants, retail and other services services;30 - 49;6 240  ;5 747 ;6 707 ;#WERT!;;;;;;;;
East;2012;Intellectual and scientific professions;30 - 49;8 238  ;7 649  ;8 584  ; 935;;;;;;;;
East;2012;Scientists, mathematicians and engineers;30 - 49;8 342  ;6 683  ;8 491  ;1 808;;;;;;;;
East;2012;Specialists in health professions;30 - 49;7 808  ;7 232  ;9 047  ;1 815;;;;;;;;
East;2012;Teachers;30 - 49;9 319  ;8 856  ;10 268  ;1 412;;;;;;;;
East;2012;Business economists and similar specialists;30 - 49;6 683  ;6 420  ;7 032  ; 612;;;;;;;;
East;2012;Specialists in information and communication technology;30 - 49;8 194  ;7 545  ;8 370  ; 825;;;;;;;;
East;2012;Lawyers, social scientists and cultural professions;30 - 49;7 867  ;7 399  ;8 246  ; 847;;;;;;;;
East;2012;Technicians and equivalent non-technical professions;30 - 49;6 915  ;6 337  ;7 319  ; 982;;;;;;;;
East;2012;Engineering and comparable specialists;30 - 49;7 055  ;5 734  ;7 117  ;1 383;;;;;;;;
East;2012;Assistant professions in the healthcare sector;30 - 49;6 738  ;6 633  ;7 131  ; 498;;;;;;;;
East;2012;Business management and commercial specialists and administrative specialists;30 - 49;7 075  ;6 268  ;8 249  ;1 981;;;;;;;;
East;2012;Legal, social, cultural and related professionals;30 - 49;6 518  ;6 400  ;6 575  ; 175;;;;;;;;
East;2012;Information and communication technicians;30 - 49;7 154  ;5 238  ;7 258  ;2 020;;;;;;;;
East;2012;Office workers and related professions;30 - 49;5 547  ;5 418  ;5 876  ; 458;;;;;;;;
East;2012;General office and secretarial staff;30 - 49;5 696  ;5 469  ;6 703  ;1 234;;;;;;;;
East;2012;Office staff with customer contact;30 - 49;5 097  ;5 004  ;*  ;#WERT!;;;;;;;;
East;2012;Office staff in finance and accounting, statistics and materials management;30 - 49;5 376  ;5 048  ;5 442  ; 394;;;;;;;;
East;2012;Other office workers and related occupations;30 - 49;5 848  ;5 618  ;6 500 ;#WERT!;;;;;;;;
East;2012;Service professions and salespersons;30 - 49;4 751  ;4 430  ;5 558  ;1 128;;;;;;;;
East;2012;Occupations in the field of personal services;30 - 49;4 282  ;4 155  ;4 673  ; 518;;;;;;;;
East;2012;Sales staff;30 - 49;5 000  ;4 376  ;6 515  ;2 139;;;;;;;;
East;2012;Caring professions;30 - 49;5 170  ;5 046  ;5 812  ; 766;;;;;;;;
East;2012;Protection and security workers;30 - 49;7 503  ;6 548 ;7 725  ;#WERT!;;;;;;;;
East;2012;Skilled workers in agriculture, forestry and fishing;30 - 49;5 718  ;*  ;5 719  ;#WERT!;;;;;;;;
East;2012;Skilled workers in agriculture;30 - 49;5 655  ;*  ;5 709  ;#WERT!;;;;;;;;
East;2012;Craft and related trades;30 - 49;5 912  ;4 420  ;5 973  ;1 553;;;;;;;;
East;2012;Construction and finishing workers and related occupations, excl. Electricians;30 - 49;5 910  ;*  ;5 942  ;#WERT!;;;;;;;;
East;2012;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;30 - 49;6 006  ;4 642 ;6 041  ;#WERT!;;;;;;;;
East;2012;Precision craftsmen and women, printers and artisans;30 - 49;5 937  ;5 684  ;6 130  ; 446;;;;;;;;
East;2012;Electricians and electronics technicians;30 - 49;6 245  ;*  ;6 268  ;#WERT!;;;;;;;;
East;2012;Food processing, clothing production and related skilled trades;30 - 49;5 461  ;4 265  ;5 710  ;1 445;;;;;;;;
East;2012;Operating plant and machinery and assembly occupations;30 - 49;5 362  ;4 101  ;5 520  ;1 419;;;;;;;;
East;2012;Operating stationary plant and machinery;30 - 49;5 367  ;4 240  ;5 592  ;1 352;;;;;;;;
East;2012;Assembly occupations;30 - 49;5 092  ;3 823  ;5 737  ;1 914;;;;;;;;
East;2012;Driving vehicles and operating mobile equipment;30 - 49;5 396  ;5 062 ;5 396  ;#WERT!;;;;;;;;
East;2012;Auxiliary workers;30 - 49;4 895  ;4 096  ;5 278  ;1 182;;;;;;;;
East;2012;Cleaning staff and unskilled workers;30 - 49;4 024  ;3 836  ;4 813 ;#WERT!;;;;;;;;
East;2012;Auxiliary workers in mining, construction, production of goods and transportation;30 - 49;5 200  ;4 157  ;5 368  ;1 211;;;;;;;;
East;2012;Total ;>= 50;6 598  ;5 460  ;7 133  ;1 673;;;;;;;;
East;2012;Executives;>= 50;9 643  ;6 847  ;10 248  ;3 401;;;;;;;;
East;2012;Managing directors, board members, senior administrative staff and legislative bodies;>= 50;10 010  ;6 190 ;10 581  ;#WERT!;;;;;;;;
East;2012;Managers in the commercial sector;>= 50;10 097  ;8 304  ;10 553  ;2 249;;;;;;;;
East;2012;Managers in production and specialized services;>= 50;9 526  ;8 394  ;9 921  ;1 527;;;;;;;;
East;2012;Managers in hotels, restaurants, retail and other services services;>= 50;4 611 ;*  ;*  ;#WERT!;;;;;;;;
East;2012;Intellectual and scientific professions;>= 50;10 020  ;9 211  ;10 611  ;1 400;;;;;;;;
East;2012;Scientists, mathematicians and engineers;>= 50;9 753  ;*  ;9 811  ;#WERT!;;;;;;;;
East;2012;Specialists in health professions;>= 50;10 397  ;8 306 ;13 534  ;#WERT!;;;;;;;;
East;2012;Teachers;>= 50;11 220  ;10 384  ;11 695  ;1 311;;;;;;;;
East;2012;Business economists and similar specialists;>= 50;7 435  ;6 441 ;7 950  ;#WERT!;;;;;;;;
East;2012;Specialists in information and communication technology;>= 50;9 425  ;*  ;9 510  ;#WERT!;;;;;;;;
East;2012;Lawyers, social scientists and cultural professions;>= 50;9 162 ;8 125  ;10 582 ;#WERT!;;;;;;;;
East;2012;Technicians and equivalent non-technical professions;>= 50;7 306  ;6 667  ;7 836  ;1 169;;;;;;;;
East;2012;Engineering and comparable specialists;>= 50;7 600  ;6 165  ;7 708  ;1 543;;;;;;;;
East;2012;Assistant professions in the healthcare sector;>= 50;7 021  ;6 844  ;7 954  ;1 110;;;;;;;;
East;2012;Business management and commercial specialists and administrative specialists;>= 50;7 242  ;6 544  ;8 200  ;1 656;;;;;;;;
East;2012;Legal, social, cultural and related professionals;>= 50;7 279  ;6 893  ;7 404  ; 511;;;;;;;;
East;2012;Information and communication technicians;>= 50;7 559  ;5 264  ;7 873  ;2 609;;;;;;;;
East;2012;Office workers and related professions;>= 50;5 760  ;5 614  ;6 204  ; 590;;;;;;;;
East;2012;General office and secretarial staff;>= 50;5 861  ;5 691  ;7 947  ;2 256;;;;;;;;
East;2012;Office staff with customer contact;>= 50;5 785  ;5 692  ;*  ;#WERT!;;;;;;;;
East;2012;Office staff in finance and accounting, statistics and materials management;>= 50;5 581  ;4 639 ;5 700  ;#WERT!;;;;;;;;
East;2012;Other office workers and related occupations;>= 50;5 530  ;5 389  ;5 530 ;#WERT!;;;;;;;;
East;2012;Service professions and salespersons;>= 50;4 969  ;4 579  ;6 331  ;1 752;;;;;;;;
East;2012;Occupations in the field of personal services;>= 50;4 813  ;4 401  ;5 656  ;1 255;;;;;;;;
East;2012;Sales staff;>= 50;4 630  ;4 259  ;7 062  ;2 803;;;;;;;;
East;2012;Caring professions;>= 50;5 224  ;5 168  ;6 160  ; 992;;;;;;;;
East;2012;Protection and security workers;>= 50;8 538  ;*  ;8 874  ;#WERT!;;;;;;;;
East;2012;Skilled workers in agriculture, forestry and fishing;>= 50;5 785 ;*  ;5 785 ;#WERT!;;;;;;;;
East;2012;Skilled workers in agriculture;>= 50;6 067 ;*  ;6 086 ;#WERT!;;;;;;;;
East;2012;Craft and related trades;>= 50;6 140  ;4 566  ;6 225  ;1 659;;;;;;;;
East;2012;Construction and finishing workers and related occupations, excl. Electricians;>= 50;6 024  ;*  ;6 040  ;#WERT!;;;;;;;;
East;2012;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;>= 50;6 405  ;*  ;6 436  ;#WERT!;;;;;;;;
East;2012;Precision craftsmen and women, printers and artisans;>= 50;6 327  ;*  ;6 851  ;#WERT!;;;;;;;;
East;2012;Electricians and electronics technicians;>= 50;6 628  ;*  ;6 675  ;#WERT!;;;;;;;;
East;2012;Food processing, clothing production and related skilled trades;>= 50;5 476  ;4 507  ;5 826  ;1 319;;;;;;;;
East;2012;Operating plant and machinery and assembly occupations;>= 50;5 634  ;4 368  ;5 767  ;1 399;;;;;;;;
East;2012;Operating stationary plant and machinery;>= 50;5 660  ;4 447  ;6 027  ;1 580;;;;;;;;
East;2012;Assembly occupations;>= 50;5 743  ;3 950  ;6 130  ;2 180;;;;;;;;
East;2012;Driving vehicles and operating mobile equipment;>= 50;5 552  ;*  ;5 542  ;#WERT!;;;;;;;;
East;2012;Auxiliary workers;>= 50;5 124  ;4 388  ;5 615  ;1 227;;;;;;;;
East;2012;Cleaning staff and unskilled workers;>= 50;4 483  ;4 427  ;5 447  ;1 020;;;;;;;;
East;2012;Auxiliary workers in mining, construction, production of goods and transportation;>= 50;5 387  ;4 233  ;5 615  ;1 382;;;;;;;;
Ticino;2020;Total ;total ;5 546;5 176;5 738; 562;;;;;;;;
Ticino;2020;Executives;total ;8 573;6 903;9 320;2 417;;;;;;;;
Ticino;2020;Managing directors, board members, senior administrative staff and legislative bodies;total ;9 993;7 861;10 420;2 559;;;;;;;;
Ticino;2020;Managers in the commercial sector;total ;8 213;6 662;8 927;2 265;;;;;;;;
Ticino;2020;Managers in production and specialized services;total ;8 081;7 445;8 635;1 190;;;;;;;;
Ticino;2020;Managers in hotels, restaurants, retail and other services services;total ;4 001;*;*;#WERT!;;;;;;;;
Ticino;2020;Intellectual and scientific professions;total ;7 500;7 329;7 688; 359;;;;;;;;
Ticino;2020;Scientists, mathematicians and engineers;total ;6 946;5 860;7 226;1 366;;;;;;;;
Ticino;2020;Specialists in health professions;total ;7 223;7 116;7 490; 374;;;;;;;;
Ticino;2020;Teachers;total ;8 346;8 153;8 693; 540;;;;;;;;
Ticino;2020;Business economists and similar specialists;total ;7 810;6 600;8 730;2 130;;;;;;;;
Ticino;2020;Specialists in information and communication technology;total ;6 706;6 701;6 715; 14;;;;;;;;
Ticino;2020;Lawyers, social scientists and cultural professions;total ;8 279;8 097;8 486; 389;;;;;;;;
Ticino;2020;Technicians and equivalent non-technical professions;total ;6 144;5 705;6 497; 792;;;;;;;;
Ticino;2020;Engineering and comparable specialists;total ;5 966;5 164;6 114; 950;;;;;;;;
Ticino;2020;Assistant professions in the healthcare sector;total ;5 447;5 405;5 930; 525;;;;;;;;
Ticino;2020;Business management and commercial specialists and administrative specialists;total ;6 595;6 080;7 438;1 358;;;;;;;;
Ticino;2020;Legal, social, cultural and related professionals;total ;6 769;6 838;6 690;- 148;;;;;;;;
Ticino;2020;Information and communication technicians;total ;5 951;*;6 187;#WERT!;;;;;;;;
Ticino;2020;Office workers and related professions;total ;5 136;5 124;5 139; 15;;;;;;;;
Ticino;2020;General office and secretarial staff;total ;5 097;5 091;5 106; 15;;;;;;;;
Ticino;2020;Office staff with customer contact;total ;6 750;5 417;8 868;3 451;;;;;;;;
Ticino;2020;Office staff in finance and accounting, statistics and materials management;total ;4 435;4 689;4 319;- 370;;;;;;;;
Ticino;2020;Other office workers and related occupations;total ;5 710;5 456;6 110; 654;;;;;;;;
Ticino;2020;Service professions and salespersons;total ;4 641;4 444;4 863; 419;;;;;;;;
Ticino;2020;Occupations in the field of personal services;total ;4 168;4 049;4 267; 218;;;;;;;;
Ticino;2020;Sales staff;total ;4 642;4 429;5 134; 705;;;;;;;;
Ticino;2020;Caring professions;total ;5 310;5 310;5 328; 18;;;;;;;;
Ticino;2020;Protection and security workers;total ;6 387;6 502;6 372;- 130;;;;;;;;
Ticino;2020;Skilled workers in agriculture, forestry and fishing;total ;5 066;*;5 055;#WERT!;;;;;;;;
Ticino;2020;Skilled workers in agriculture;total ;5 200;*;5 183;#WERT!;;;;;;;;
Ticino;2020;Craft and related trades;total ;5 258;3 464;5 372;1 908;;;;;;;;
Ticino;2020;Construction and finishing workers and related occupations, excl. Electricians;total ;5 683;*;5 683;#WERT!;;;;;;;;
Ticino;2020;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;total ;4 709;*;4 714;#WERT!;;;;;;;;
Ticino;2020;Precision craftsmen and women, printers and artisans;total ;3 034;3 313;2 944;- 369;;;;;;;;
Ticino;2020;Electricians and electronics technicians;total ;5 573;*;5 576;#WERT!;;;;;;;;
Ticino;2020;Food processing, clothing production and related skilled trades;total ;3 930;3 464;4 565;1 101;;;;;;;;
Ticino;2020;Operating plant and machinery and assembly occupations;total ;4 430;3 396;5 087;1 691;;;;;;;;
Ticino;2020;Operating stationary plant and machinery;total ;4 295;3 699;4 826;1 127;;;;;;;;
Ticino;2020;Assembly occupations;total ;3 401;3 394;4 872;1 478;;;;;;;;
Ticino;2020;Driving vehicles and operating mobile equipment;total ;5 233;5 303;5 233;- 70;;;;;;;;
Ticino;2020;Auxiliary workers;total ;4 250;3 709;4 613; 904;;;;;;;;
Ticino;2020;Cleaning staff and unskilled workers;total ;3 943;3 943;3 846;- 97;;;;;;;;
Ticino;2020;Auxiliary workers in mining, construction, production of goods and transportation;total ;4 886;3 268;5 110;1 842;;;;;;;;
Ticino;2021;Total ;<= 29;4 524;4 435;4 566; 131;;;;;;;;
Ticino;2020;Executives;<= 29;5 667;*;*;#WERT!;;;;;;;;
Ticino;2020;Managing directors, board members, senior administrative staff and legislative bodies;<= 29;*;*;*;#WERT!;;;;;;;;
Ticino;2020;Managers in the commercial sector;<= 29;*;*;*;#WERT!;;;;;;;;
Ticino;2020;Managers in production and specialized services;<= 29;*;*;*;#WERT!;;;;;;;;
Ticino;2020;Managers in hotels, restaurants, retail and other services services;<= 29;*;*;*;#WERT!;;;;;;;;
Ticino;2020;Intellectual and scientific professions;<= 29;5 768;5 980;5 307;- 673;;;;;;;;
Ticino;2020;Scientists, mathematicians and engineers;<= 29;4 780;4 307;5 158; 851;;;;;;;;
Ticino;2020;Specialists in health professions;<= 29;5 875;5 877;5 873;- 4;;;;;;;;
Ticino;2020;Teachers;<= 29;6 957;6 957;*;#WERT!;;;;;;;;
Ticino;2020;Business economists and similar specialists;<= 29;4 626;4 654;4 597;- 57;;;;;;;;
Ticino;2020;Specialists in information and communication technology;<= 29;4 715;*;4 535;#WERT!;;;;;;;;
Ticino;2020;Lawyers, social scientists and cultural professions;<= 29;6 069;*;*;#WERT!;;;;;;;;
Ticino;2020;Technicians and equivalent non-technical professions;<= 29;4 835;4 874;4 822;- 52;;;;;;;;
Ticino;2020;Engineering and comparable specialists;<= 29;4 822;*;4 815;#WERT!;;;;;;;;
Ticino;2020;Assistant professions in the healthcare sector;<= 29;4 845;4 835;5 006; 171;;;;;;;;
Ticino;2020;Business management and commercial specialists and administrative specialists;<= 29;5 018;4 694;5 207; 513;;;;;;;;
Ticino;2020;Legal, social, cultural and related professionals;<= 29;6 134;6 367;4 814;-1 553;;;;;;;;
Ticino;2020;Information and communication technicians;<= 29;*;*;*;#WERT!;;;;;;;;
Ticino;2020;Office workers and related professions;<= 29;4 126;4 228;4 073;- 155;;;;;;;;
Ticino;2020;General office and secretarial staff;<= 29;4 130;4 130;4 109;- 21;;;;;;;;
Ticino;2020;Office staff with customer contact;<= 29;4 594;4 456;4 594; 138;;;;;;;;
Ticino;2020;Office staff in finance and accounting, statistics and materials management;<= 29;3 691;*;3 609;#WERT!;;;;;;;;
Ticino;2020;Other office workers and related occupations;<= 29;4 739;*;*;#WERT!;;;;;;;;
Ticino;2020;Service professions and salespersons;<= 29;4 196;4 049;4 394; 345;;;;;;;;
Ticino;2020;Occupations in the field of personal services;<= 29;4 041;4 000;4 178; 178;;;;;;;;
Ticino;2020;Sales staff;<= 29;4 376;4 186;4 519; 333;;;;;;;;
Ticino;2020;Caring professions;<= 29;4 908;4 911;*;#WERT!;;;;;;;;
Ticino;2020;Protection and security workers;<= 29;5 307;*;5 224;#WERT!;;;;;;;;
Ticino;2020;Skilled workers in agriculture, forestry and fishing;<= 29;4 531;*;*;#WERT!;;;;;;;;
Ticino;2020;Skilled workers in agriculture;<= 29;*;*;*;#WERT!;;;;;;;;
Ticino;2020;Craft and related trades;<= 29;4 641;*;4 657;#WERT!;;;;;;;;
Ticino;2020;Construction and finishing workers and related occupations, excl. Electricians;<= 29;5 088;*;5 088;#WERT!;;;;;;;;
Ticino;2020;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;<= 29;4 349;*;4 349;#WERT!;;;;;;;;
Ticino;2020;Precision craftsmen and women, printers and artisans;<= 29;*;*;*;#WERT!;;;;;;;;
Ticino;2020;Electricians and electronics technicians;<= 29;5 074;-;5 074;#WERT!;;;;;;;;
Ticino;2020;Food processing, clothing production and related skilled trades;<= 29;4 058;*;*;#WERT!;;;;;;;;
Ticino;2020;Operating plant and machinery and assembly occupations;<= 29;3 648;3 394;4 019; 625;;;;;;;;
Ticino;2020;Operating stationary plant and machinery;<= 29;3 750;3 648;3 789; 141;;;;;;;;
Ticino;2020;Assembly occupations;<= 29;3 394;*;*;#WERT!;;;;;;;;
Ticino;2020;Driving vehicles and operating mobile equipment;<= 29;3 952;*;3 968;#WERT!;;;;;;;;
Ticino;2020;Auxiliary workers;<= 29;3 810;3 470;3 891; 421;;;;;;;;
Ticino;2020;Cleaning staff and unskilled workers;<= 29;3 735;3 809;*;#WERT!;;;;;;;;
Ticino;2020;Auxiliary workers in mining, construction, production of goods and transportation;<= 29;3 987;2 884;4 477;1 593;;;;;;;;
Ticino;2021;Total ;30 - 49;5 524;5 238;5 673; 435;;;;;;;;
Ticino;2020;Executives;30 - 49;7 575;6 606;7 986;1 380;;;;;;;;
Ticino;2020;Managing directors, board members, senior administrative staff and legislative bodies;30 - 49;8 665;7 695;9 016;1 321;;;;;;;;
Ticino;2020;Managers in the commercial sector;30 - 49;7 170;6 433;8 144;1 711;;;;;;;;
Ticino;2020;Managers in production and specialized services;30 - 49;7 330;7 424;7 200;- 224;;;;;;;;
Ticino;2020;Managers in hotels, restaurants, retail and other services services;30 - 49;4 285;*;*;#WERT!;;;;;;;;
Ticino;2020;Intellectual and scientific professions;30 - 49;7 440;7 484;7 404;- 80;;;;;;;;
Ticino;2020;Scientists, mathematicians and engineers;30 - 49;6 661;5 960;6 923; 963;;;;;;;;
Ticino;2020;Specialists in health professions;30 - 49;7 437;7 445;7 424;- 21;;;;;;;;
Ticino;2020;Teachers;30 - 49;8 158;8 153;8 351; 198;;;;;;;;
Ticino;2020;Business economists and similar specialists;30 - 49;7 611;6 251;8 581;2 330;;;;;;;;
Ticino;2020;Specialists in information and communication technology;30 - 49;6 679;6 666;6 715; 49;;;;;;;;
Ticino;2020;Lawyers, social scientists and cultural professions;30 - 49;8 126;8 081;8 226; 145;;;;;;;;
Ticino;2020;Technicians and equivalent non-technical professions;30 - 49;6 157;5 740;6 365; 625;;;;;;;;
Ticino;2020;Engineering and comparable specialists;30 - 49;5 832;5 000;5 957; 957;;;;;;;;
Ticino;2020;Assistant professions in the healthcare sector;30 - 49;5 614;5 596;6 163; 567;;;;;;;;
Ticino;2020;Business management and commercial specialists and administrative specialists;30 - 49;6 497;5 904;7 471;1 567;;;;;;;;
Ticino;2020;Legal, social, cultural and related professionals;30 - 49;6 786;6 991;6 633;- 358;;;;;;;;
Ticino;2020;Information and communication technicians;30 - 49;6 054;*;6 056;#WERT!;;;;;;;;
Ticino;2020;Office workers and related professions;30 - 49;5 109;5 137;5 106;- 31;;;;;;;;
Ticino;2020;General office and secretarial staff;30 - 49;5 091;5 087;5 106; 19;;;;;;;;
Ticino;2020;Office staff with customer contact;30 - 49;6 890;5 457;8 970;3 513;;;;;;;;
Ticino;2020;Office staff in finance and accounting, statistics and materials management;30 - 49;4 299;4 661;4 231;- 430;;;;;;;;
Ticino;2020;Other office workers and related occupations;30 - 49;5 710;5 456;6 110; 654;;;;;;;;
Ticino;2020;Service professions and salespersons;30 - 49;4 605;4 435;4 824; 389;;;;;;;;
Ticino;2020;Occupations in the field of personal services;30 - 49;4 126;3 969;4 225; 256;;;;;;;;
Ticino;2020;Sales staff;30 - 49;4 589;4 448;4 874; 426;;;;;;;;
Ticino;2020;Caring professions;30 - 49;5 269;5 212;5 334; 122;;;;;;;;
Ticino;2020;Protection and security workers;30 - 49;6 675;*;6 665;#WERT!;;;;;;;;
Ticino;2020;Skilled workers in agriculture, forestry and fishing;30 - 49;5 257;*;5 257;#WERT!;;;;;;;;
Ticino;2020;Skilled workers in agriculture;30 - 49;5 312;*;5 312;#WERT!;;;;;;;;
Ticino;2020;Craft and related trades;30 - 49;5 318;3 580;5 383;1 803;;;;;;;;
